,,,,,,,
,Table 1,,,,,,
,"Top 100 names for baby girls, 1996",,,,,,
,,Places 1 - 50,,,,Places 51 - 100,
,,,,,,,
,,Name,Count,,,Name,Count
,,,,,,,
,1,SOPHIE ,7087,,51.0,KAYLEIGH ,1206
,2,CHLOE ,6824,,52.0,COURTNEY ,1203
,3,JESSICA ,6711,,53.0,KIRSTY ,1202
,4,EMILY ,6415,,54.0,JENNIFER ,1200
,5,LAUREN ,6299,,55.0,JASMINE ,1145
,6,HANNAH ,5916,,56.0,ELLA ,1137
,7,CHARLOTTE ,5866,,57.0,HAYLEY ,1088
,8,REBECCA ,5828,,58.0,ASHLEIGH ,1081
,9,AMY ,5206,,59.0,KATE ,1055
,10,MEGAN ,4948,,60.0,HARRIET ,1046
,11,SHANNON ,4649,,61.0,LYDIA ,1009
,12,KATIE ,4337,,62.0,FRANCESCA ,966
,13,BETHANY ,4271,,63.0,AMELIA ,929
,14,EMMA ,4232,,63.0,ELLEN ,929
,15,LUCY ,3753,,65.0,PHOEBE ,910
,16,GEORGIA ,3723,,66.0,CAITLIN ,906
,17,LAURA ,3582,,67.0,HOLLIE ,896
,18,SARAH ,3111,,68.0,CATHERINE ,880
,19,JADE ,2750,,69.0,ROSIE ,879
,20,DANIELLE ,2641,,70.0,AIMEE ,876
,21,ABIGAIL ,2595,,71.0,DAISY ,828
,22,ELEANOR ,2555,,72.0,BETHAN ,825
,23,HOLLY ,2498,,73.0,KIMBERLEY ,799
,24,OLIVIA ,2456,,74.0,KELLY ,789
,25,ALICE ,2357,,75.0,NAOMI ,766
,26,ELIZABETH ,2225,,76.0,SIAN ,731
,27,RACHEL ,2105,,77.0,RACHAEL ,721
,28,PAIGE ,2052,,78.0,HEATHER ,713
,29,MOLLY ,2026,,79.0,DEMI ,689
,30,ELLIE ,1900,,80.0,ROBYN ,683
,31,ZOE ,1897,,81.0,MOLLIE ,667
,32,SAMANTHA ,1854,,82.0,YASMIN ,661
,33,NATASHA ,1751,,83.0,BETH ,656
,34,CHELSEA ,1735,,84.0,RHIANNON ,654
,35,LEAH ,1705,,85.0,LILY ,651
,36,NICOLE ,1679,,86.0,KATHRYN ,635
,37,VICTORIA ,1627,,87.0,NICOLA ,629
,38,ALEXANDRA ,1595,,88.0,LEANNE ,616
,39,GEORGINA ,1593,,89.0,CHANTELLE ,609
,40,AMBER ,1422,,90.0,CLAIRE ,564
,41,GRACE ,1421,,91.0,IMOGEN ,555
,42,NATALIE ,1393,,92.0,POPPY ,537
,43,JODIE ,1354,,93.0,MADELEINE ,536
,44,LOUISE ,1309,,94.0,ISOBEL ,522
,45,ABBIE ,1297,,95.0,SOPHIA ,516
,46,MELISSA ,1282,,96.0,MARIA ,511
,47,ANNA ,1274,,97.0,STACEY ,509
,48,KATHERINE ,1266,,98.0,ALICIA ,504
,48,STEPHANIE ,1266,,99.0,GABRIELLE ,501
,50,GEMMA ,1261,,100.0,ERIN ,486
,,,,,,,
,,,,,,,
,Notes:,,,,,,
,These rankings have been produced using the exact spelling of the name given at birth registration. Similar ,,,,,,
,names with different spellings have been counted separately. Births where the name was not stated ,,,,,,
,"have been excluded from these figures. Of the 315,995 baby girls in the 1996 dataset, 8 were excluded for ",,,,,,
,this reason.,,,,,,
,,,,,,,
,Source: Office for National Statistics (ONS),,,,,,
