,,,,,,,,,
,Table 1,,,,,,,,
,"Top 100 names for baby boys, 2002",,,,,,,,England and Wales
,,Places 1 - 50,,,,,Places 51 - 100,,
,,,,Change in rank,,,,,Change in rank
,,Name,Count, since 2001,,,Name,Count, since 2001
,,,,,,,,,
,1,JACK ,9100,-,,51.0,HENRY ,1242,+2
,2,JOSHUA ,8170,+1,,52.0,HARRISON ,1222,-3
,3,THOMAS ,7438,-1,,53.0,RHYS ,1202,-1
,4,JAMES ,6377,-,,54.0,JOE ,1187,-3
,5,DANIEL ,5565,-,,55.0,ARCHIE ,1165,+5
,6,BENJAMIN ,5095,+8,,56.0,CHRISTOPHER ,1110,-8
,7,SAMUEL ,5067,-,,57.0,SAM ,1069,-2
,8,JOSEPH ,5051,-,,58.0,TOBY ,1047,+5
,9,WILLIAM ,5037,+4,,59.0,KAI ,1037,+5
,10,OLIVER ,4794,+2,,60.0,MORGAN ,1001,-3
,11,HARRY ,4551,-5,,61.0,MUHAMMAD ,979,+8
,12,MATTHEW ,4367,-3,,62.0,JAY ,971,-3
,13,LUKE ,4342,-2,,63.0,ISAAC ,931,+12
,14,LEWIS ,4273,-4,,64.0,JOHN ,916,-6
,15,GEORGE ,3677,+2,,65.0,MOHAMMAD ,900,+8
,16,CALLUM ,3640,-1,,66.0,ANDREW ,898,-10
,17,ADAM ,3527,-1,,67.0,AIDAN ,891,+13
,18,ETHAN ,3523,+3,,68.0,KIAN ,876,+4
,19,ALEXANDER ,3423,+1,,69.0,JOEL ,858,-7
,20,RYAN ,3344,-2,,70.0,OSCAR ,836,+7
,21,BEN ,3190,+10,,70.0,TAYLOR ,836,-5
,22,MOHAMMED ,3098,-,,72.0,LUCAS ,796,+6
,23,LIAM ,2927,+1,,73.0,LEON ,790,+1
,24,NATHAN ,2793,+5,,74.0,SEAN ,784,-7
,25,JAKE ,2778,-6,,75.0,DOMINIC ,782,-5
,26,CONNOR ,2775,-1,,76.0,ELLIOT ,775,-8
,27,CAMERON ,2756,-4,,77.0,FINLAY ,744,+24*
,28,DYLAN ,2599,-1,,78.0,BAILEY ,734,+9
,29,CHARLIE ,2585,+3,,78.0,SCOTT ,734,-7
,30,JACOB ,2537,-2,,80.0,JONATHAN ,725,-14
,31,OWEN ,2349,+6,,81.0,BILLY ,709,-3
,32,JAMIE ,2240,-2,,82.0,PATRICK ,693,-6
,33,MAX ,2050,+2,,83.0,ELLIS ,661,+8
,34,KIERAN ,1979,-,,84.0,JOSH ,657,+6
,35,MICHAEL ,1955,-2,,85.0,MASON ,654,-
,36,AARON ,1902,+4,,86.0,EWAN ,651,-2
,37,BRANDON ,1848,+1,,87.0,NICHOLAS ,627,-5
,38,TYLER ,1790,+3,,88.0,LEO ,601,+13*
,39,BRADLEY ,1772,-3,,89.0,DECLAN ,594,-8
,40,KYLE ,1767,+2,,90.0,TOM ,581,-1
,41,LOUIS ,1721,-2,,91.0,FINLEY ,550,+26*
,42,ALEX ,1707,+3,,92.0,MARCUS ,546,-9
,43,JORDAN ,1634,-17,,93.0,ANTHONY ,542,+5
,44,REECE ,1607,-1,,94.0,JASON ,540,-2
,45,HARVEY ,1468,+16,,95.0,ASHLEY ,529,-
,46,EDWARD ,1376,-2,,96.0,SEBASTIAN ,527,+10
,47,DAVID ,1320,-1,,97.0,PETER ,504,-11
,48,CHARLES ,1309,+2,,98.0,ZACHARY ,502,-4
,49,ALFIE ,1306,+5,,99.0,GABRIEL ,491,+13*
,50,ROBERT ,1244,-3,,100.0,KIERON ,488,+4*
,,,,,,,,,
,,,,,,,,,
,Notes:,,,,,,,,
,These rankings have been produced using the exact spelling of the name given at birth registration. Similar names with different spellings have been counted separately.,,,,,,,,
,"Births where the name was not stated have been excluded from these figures. Of the 306,063 baby boys in the 2002 dataset, 16 were excluded for this reason.",,,,,,,,
,The sum of the counts for individual names appearing in Table 2 and Table 3 may not equal the count in Table 1. This is because births where the usual residence of ,,,,,,,,
,mother was not stated at the time of registration have been excluded from the counts in Table 2 and Table 3.,,,,,,,,
,* denotes new entry to top 100,,,,,,,,
,,,,,,,,,
,Source: Office for National Statistics (ONS),,,,,,,,
