,,,,,,,,,
,Table 1,,,,,,,,
,"Top 100 names for baby girls, 2005",,,,,,,,England and Wales
,,Places 1 - 50,,,,,Places 51 - 100,,
,,,,Change in rank,,,,,Change in rank
,,Name,Count, since 2004,,,Name,Count, since 2004
,,,,,,,,,
,1,JESSICA ,5030,+2,,51.0,ISOBEL ,1098,+2
,2,EMILY ,4752,-1,,52.0,ANNA ,1096,-2
,3,SOPHIE ,4422,+1,,53.0,ABBIE ,1004,-9
,4,OLIVIA ,4282,+2,,53.0,TIA ,1004,+2
,5,ELLIE ,4049,-3,,55.0,EVE ,964,+6
,6,CHLOE ,4017,-1,,56.0,SARAH ,962,-
,7,GRACE ,3653,+4,,57.0,ALISHA ,957,+5
,8,LUCY ,3534,-1,,58.0,COURTNEY ,949,-12
,9,CHARLOTTE ,3499,-1,,58.0,MAISIE ,949,+1
,10,ELLA ,3220,+4,,60.0,SOPHIA ,940,+3
,11,KATIE ,3201,-2,,61.0,ROSIE ,914,-4
,12,RUBY ,3149,+19,,61.0,SHANNON ,914,-7
,13,MEGAN ,3109,-3,,63.0,MADDISON ,899,+13
,14,HANNAH ,2990,-2,,64.0,MADELEINE ,888,+5
,15,AMELIA ,2976,+3,,65.0,IMOGEN ,868,+2
,16,LILY ,2871,-,,66.0,SUMMER ,852,+7
,17,AMY ,2717,-4,,67.0,ZOE ,829,-9
,18,MIA ,2539,-3,,68.0,NICOLE ,823,-4
,19,HOLLY ,2465,-2,,69.0,FAITH ,813,+13
,20,ABIGAIL ,2461,-1,,70.0,SIENNA ,803,+85*
,21,MILLIE ,2418,+1,,71.0,BROOKE ,743,+3
,22,MOLLY ,2355,-1,,72.0,ALICIA ,731,-12
,23,EMMA ,2144,-3,,73.0,HARRIET ,711,+4
,24,ISABELLA ,2065,+10,,74.0,LILLY ,703,+26
,25,LEAH ,2045,-1,,75.0,FRANCESCA ,700,+4
,26,CAITLIN ,1889,-1,,76.0,EVA ,695,+35*
,27,LAUREN ,1888,-4,,77.0,HOLLIE ,684,-6
,28,DAISY ,1879,+4,,78.0,DEMI ,683,+31*
,28,EVIE ,1879,+10,,79.0,RACHEL ,681,-14
,30,ISABELLE ,1800,-,,80.0,NATASHA ,680,-14
,31,FREYA ,1794,+2,,81.0,MOLLIE ,668,-1
,32,ERIN ,1788,+4,,82.0,AVA ,657,+71*
,33,REBECCA ,1748,-7,,83.0,AMELIE ,655,+18*
,34,GEORGIA ,1597,-7,,84.0,LYDIA ,649,-14
,35,POPPY ,1574,+10,,85.0,ZARA ,640,+11
,36,PHOEBE ,1569,+7,,86.0,GRACIE ,637,+52*
,37,KEIRA ,1565,+14,,87.0,ALEXANDRA ,634,-15
,38,AMBER ,1562,+4,,88.0,SKYE ,631,+20*
,39,MADISON ,1556,+2,,89.0,MATILDA ,620,+18*
,40,BETHANY ,1512,-12,,90.0,LOLA ,613,+69*
,41,JASMINE ,1478,-4,,91.0,MORGAN ,594,-16
,42,ELIZABETH ,1435,-7,,92.0,KIERA ,588,-1
,43,ELEANOR ,1328,-14,,93.0,ELOISE ,583,-10
,44,ALICE ,1307,-5,,94.0,LAURA ,571,-13
,45,PAIGE ,1290,-5,,95.0,TILLY ,557,+9*
,46,SCARLETT ,1261,+22,,96.0,SOFIA ,542,+21*
,47,ISABEL ,1232,+2,,97.0,LAYLA ,530,+43*
,48,LIBBY ,1131,+4,,98.0,MAYA ,527,-13
,49,AIMEE ,1121,-2,,99.0,KAYLEIGH ,524,-11
,50,NIAMH ,1110,-2,,100.0,NAOMI ,510,-2
,,,,,,,,,
,,,,,,,,,
,Notes:,,,,,,,,
,These rankings have been produced using the exact spelling of the name given at birth registration. Similar names with different spellings have been counted separately.,,,,,,,,
,"Births where the name was not stated have been excluded from these figures. Of the 315,235 baby girls in the 2005 dataset, 18 were excluded for this reason.",,,,,,,,
,The sum of the counts for individual names appearing in Table 2 and Table 3 may not equal the count in Table 1. This is because births where the usual residence of ,,,,,,,,
,mother was not stated at the time of registration have been excluded from the counts in Table 2 and Table 3.,,,,,,,,
,* denotes new entry to top 100,,,,,,,,
,,,,,,,,,
,Source: Office for National Statistics (ONS),,,,,,,,
