This worksheet contains one table.,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,
Notes,,,,,,
[note 1] refers to cell A7 [note 2] refers to cell C7.,,,,,,
Source: Office for National Statistics,,,,,,
Rank,Name,Count,Change in rank since 2020,New entry into top 100 in 2021 since 2020,Change in rank since 2011,New entry into top 100 in 2021 since 2011
1,Noah,4525,3,No,15,No
2,Oliver,4167,-1,No,0,No
3,George,4141,-1,No,9,No
4,Arthur,3766,-1,No,64,No
5,Muhammad,3722,0,No,17,No
6,Leo,3465,0,No,21,No
7,Harry,3089,1,No,-6,No
8,Oscar,3071,-1,No,9,No
9,Archie,2928,0,No,15,No
10,Henry,2912,1,No,18,No
11,Theodore,2889,3,No,113,Yes
12,Freddie,2873,1,No,30,No
13,Jack,2847,-3,No,-10,No
14,Charlie,2674,-2,No,-9,No
15,Theo,2514,2,No,35,No
16,Alfie,2338,2,No,-12,No
17,Jacob,2319,2,No,-10,No
18,Thomas,2302,-3,No,-12,No
19,Finley,2283,-3,No,15,No
20,Arlo,2154,7,No,261,Yes
21,William,2093,-1,No,-11,No
22,Lucas,1965,3,No,4,No
23,Roman,1923,5,No,149,Yes
24,Tommy,1901,-2,No,41,No
25,Isaac,1888,-4,No,8,No
26,Teddy,1875,5,No,130,Yes
27,Alexander,1830,-1,No,-4,No
28,Luca,1807,17,No,36,No
29,Edward,1806,0,No,11,No
30,James,1772,-6,No,-22,No
31,Joshua,1737,-8,No,-22,No
32,Albie,1729,3,No,186,Yes
33,Elijah,1657,-3,No,58,No
34,Max,1650,-1,No,-14,No
35,Mohammed,1619,-3,No,-16,No
36,Reuben,1534,8,No,36,No
37,Mason,1517,5,No,-2,No
38,Sebastian,1516,1,No,9,No
39,Rory,1483,4,No,71,Yes
40,Jude,1482,13,No,43,No
41,Louie,1461,5,No,33,No
42,Benjamin,1423,-2,No,-17,No
43,Ethan,1398,-7,No,-32,No
44,Adam,1367,-10,No,-6,No
45,Hugo,1325,6,No,94,Yes
46,Joseph,1307,-8,No,-28,No
47,Reggie,1287,1,No,131,Yes
48,Ronnie,1285,6,No,94,Yes
49,Harrison,1254,-8,No,-12,No
50,Louis,1240,2,No,18,No
51,Ezra,1226,8,No,390,Yes
52,Jaxon,1210,-3,No,148,Yes
53,Logan,1192,-16,No,-23,No
54,Daniel,1150,-4,No,-40,No
55,Zachary,1146,1,No,-10,No
56,Samuel,1123,-9,No,-41,No
57,Dylan,1099,-2,No,-36,No
58,Albert,1091,-1,No,72,Yes
59,Hudson,1069,10,No,342,Yes
60,Hunter,1042,-2,No,413,Yes
61,Frederick,1017,2,No,35,No
62,David,961,-2,No,-5,No
63,Rowan,938,8,No,72,Yes
64,Jesse,929,4,No,120,Yes
65,Frankie,920,-4,No,19,No
66,Toby,918,-4,No,-15,No
67,Oakley,908,15,No,155,Yes
68,Grayson,903,-2,No,324,Yes
69,Carter,825,-5,No,125,Yes
70,Riley,817,-3,No,-57,No
71,Felix,807,6,No,60,Yes
72,Finn,788,1,No,64,Yes
73,Bobby,772,-3,No,3,No
74,Blake,771,28,Yes,5,No
75,Sonny,762,6,No,33,Yes
76,Caleb,758,9,No,13,No
77,Gabriel,749,-12,No,-2,No
77,Michael,749,-3,No,-24,No
79,Jasper,742,-1,No,59,Yes
80,Alfred,739,11,No,78,Yes
81,Otis,737,15,No,311,Yes
82,Stanley,724,-8,No,-2,No
83,Milo,719,-3,No,84,Yes
83,Mohammad,719,-9,No,-20,No
85,Ralph,692,10,No,145,Yes
86,Liam,690,-7,No,-42,No
87,Chester,680,-3,No,501,Yes
88,Ellis,670,1,No,15,Yes
89,Elliot,664,-6,No,-4,No
90,Brody,645,36,Yes,125,Yes
91,Charles,639,-3,No,-31,No
91,Kai,639,12,Yes,-35,No
93,Rupert,631,13,Yes,194,Yes
94,Yusuf,628,-1,No,34,Yes
95,Harvey,627,-9,No,-43,No
96,Ollie,613,-4,No,-23,No
97,Jackson,607,-7,No,2,No
98,Tobias,596,6,Yes,10,Yes
99,Nathan,595,12,Yes,-45,No
100,Myles,592,-2,No,112,Yes
