This worksheet contains one table.,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
[note 1] refers to cell A7 [note 2] refers to cell C7.,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,
Rank,Name,Count,Change in rank since 2020,New entry into top 100,Rank in England,,,,,,,,,,
1,Noah,275,0,No,1,,,,,,,,,,
2,Oliver,213,0,No,3,,,,,,,,,,
3,Arthur,186,3,No,5,,,,,,,,,,
4,Theo,170,0,No,15,,,,,,,,,,
5,Leo,168,-2,No,6,,,,,,,,,,
6,Charlie,156,4,No,14,,,,,,,,,,
7,Archie,154,1,No,11,,,,,,,,,,
8,George,152,-1,No,2,,,,,,,,,,
9,Jack,136,3,No,13,,,,,,,,,,
10,Oscar,135,-2,No,8,,,,,,,,,,
11,Finley,129,-6,No,19,,,,,,,,,,
11,Freddie,129,3,No,12,,,,,,,,,,
13,Tommy,123,-2,No,26,,,,,,,,,,
14,Jacob,119,1,No,17,,,,,,,,,,
15,Alfie,118,1,No,16,,,,,,,,,,
16,Harry,115,-4,No,7,,,,,,,,,,
16,Osian,115,4,No,690,,,,,,,,,,
18,Roman,113,8,No,23,,,,,,,,,,
19,Elijah,109,-2,No,35,,,,,,,,,,
19,Theodore,109,5,No,10,,,,,,,,,,
21,Thomas,107,-1,No,18,,,,,,,,,,
21,William,107,-3,No,21,,,,,,,,,,
23,Arlo,105,-4,No,20,,,,,,,,,,
24,Henry,103,4,No,9,,,,,,,,,,
25,Luca,97,28,No,30,,,,,,,,,,
26,Albie,96,11,No,32,,,,,,,,,,
27,Dylan,95,-2,No,58,,,,,,,,,,
28,Harrison,89,-1,No,50,,,,,,,,,,
29,Elis,87,2,No,597,,,,,,,,,,
29,Isaac,87,-6,No,24,,,,,,,,,,
31,Lucas,86,3,No,22,,,,,,,,,,
32,Harri,85,-12,No,1245,,,,,,,,,,
33,Mason,83,4,No,39,,,,,,,,,,
34,Jaxon,78,-5,No,52,,,,,,,,,,
35,Hunter,77,7,No,61,,,,,,,,,,
35,Reuben,77,-6,No,36,,,,,,,,,,
37,Rowan,76,2,No,66,,,,,,,,,,
38,Louie,74,30,No,41,,,,,,,,,,
38,Teddy,74,6,No,24,,,,,,,,,,
40,Tomos,73,-5,No,1618,,,,,,,,,,
41,Logan,72,-5,No,53,,,,,,,,,,
42,Ezra,71,2,No,51,,,,,,,,,,
43,Hudson,69,8,No,59,,,,,,,,,,
44,Max,66,4,No,34,,,,,,,,,,
45,Jac,65,-13,No,3324,,,,,,,,,,
46,Ronnie,63,9,No,48,,,,,,,,,,
47,Ollie,62,-4,No,101,,,,,,,,,,
48,Rory,61,14,No,40,,,,,,,,,,
48,Sebastian,61,15,No,37,,,,,,,,,,
50,Macsen,60,20,No,1106,,,,,,,,,,
50,Reggie,60,5,No,47,,,,,,,,,,
52,Caleb,59,18,No,83,,,,,,,,,,
52,Finn,59,22,No,73,,,,,,,,,,
54,James,58,-14,No,29,,,,,,,,,,
54,Jesse,58,-1,No,64,,,,,,,,,,
54,Zachary,58,14,No,55,,,,,,,,,,
57,Oakley,57,24,No,68,,,,,,,,,,
58,Alexander,56,-3,No,27,,,,,,,,,,
58,Benjamin,56,5,No,42,,,,,,,,,,
58,Joseph,56,-18,No,46,,,,,,,,,,
58,Myles,56,18,No,105,,,,,,,,,,
62,Ethan,55,-12,No,43,,,,,,,,,,
62,Louis,55,21,No,49,,,,,,,,,,
64,Blake,53,-9,No,76,,,,,,,,,,
64,Hugo,53,11,No,45,,,,,,,,,,
64,Joshua,53,-31,No,31,,,,,,,,,,
67,Edward,51,-4,No,28,,,,,,,,,,
67,Sonny,51,-8,No,80,,,,,,,,,,
67,Toby,51,-20,No,65,,,,,,,,,,
70,Carter,50,-21,No,71,,,,,,,,,,
70,Ellis,50,-18,No,89,,,,,,,,,,
72,Evan,49,-28,No,174,,,,,,,,,,
73,Brody,46,23,No,95,,,,,,,,,,
73,Grayson,46,-14,No,67,,,,,,,,,,
73,Samuel,46,3,No,56,,,,,,,,,,
76,Elias,44,20,No,112,,,,,,,,,,
76,Jude,44,7,No,38,,,,,,,,,,
78,Eli,42,-12,No,108,,,,,,,,,,
78,Frankie,42,-2,No,63,,,,,,,,,,
78,Jax,42,11,No,124,,,,,,,,,,
81,Ioan,41,9,No,990,,,,,,,,,,
81,Muhammad,41,15,No,4,,,,,,,,,,
81,Riley,41,-8,No,70,,,,,,,,,,
84,Cai,40,-14,No,1454,,,,,,,,,,
85,Idris,38,23,Yes,188,,,,,,,,,,
85,Tobias,38,-2,No,100,,,,,,,,,,
85,Tomi,38,19,Yes,2625,,,,,,,,,,
88,Daniel,37,-1,No,54,,,,,,,,,,
88,Morgan,37,-22,No,459,,,,,,,,,,
90,Jackson,36,-4,No,97,,,,,,,,,,
90,Parker,36,21,Yes,150,,,,,,,,,,
92,Chester,35,-10,No,87,,,,,,,,,,
93,Gabriel,34,-3,No,77,,,,,,,,,,
93,Gruffydd,34,8,Yes,2388,,,,,,,,,,
93,Hari,34,15,Yes,767,,,,,,,,,,
96,Joey,33,-2,No,131,,,,,,,,,,
96,Rhys,33,0,No,290,,,,,,,,,,
98,David,32,3,Yes,62,,,,,,,,,,
98,Elliott,32,13,Yes,106,,,,,,,,,,
98,Mohammed,32,20,Yes,33,,,,,,,,,,
