This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[note 1] refers to cell B7 and [note 4] refers to cell D7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Rank,Name,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1,Arthur,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2,Noah,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,3,George,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,4,Oliver,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,5,Harry,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,6,Henry,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,7,Muhammad,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,8,Oscar,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,9,Leo,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,10,Archie,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,All ranks,All names,24594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1,George,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2,Noah,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,3,Arthur,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,4,Harry,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,5,Oliver,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,6,Muhammad,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,7,Archie,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,8,Leo,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,9,Oscar,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,10,Freddie,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,All ranks,All names,23668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1,Noah,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2,Oliver,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,3,George,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,4,Arthur,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,5,Muhammad,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,6,Leo,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,7,Jack,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,8,Henry,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,9,Archie,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,10,Oscar,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,All ranks,All names,26944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1,George,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2,Noah,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,3,Oliver,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,4,Arthur,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,5,Oscar,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,6,Leo,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,7,Muhammad,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,8,Freddie,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
