This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[note 1] refers to cell A7 and [note 2] refers to cell C7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Count,Change in rank since 2020,New entry into top 100 in 2021 since 2020,Change in rank since 2011,New entry into top 100 in 2021 since 2011,,,,,,,,,,,,,,,,,,,,,,,,
1,Olivia,3649,0,No,1,No,,,,,,,,,,,,,,,,,,,,,,,,
2,Amelia,3164,0,No,-1,No,,,,,,,,,,,,,,,,,,,,,,,,
3,Isla,2683,0,No,12,No,,,,,,,,,,,,,,,,,,,,,,,,
4,Ava,2576,0,No,5,No,,,,,,,,,,,,,,,,,,,,,,,,
5,Ivy,2245,1,No,163,Yes,,,,,,,,,,,,,,,,,,,,,,,,
6,Freya,2187,6,No,13,No,,,,,,,,,,,,,,,,,,,,,,,,
7,Lily,2182,0,No,-4,No,,,,,,,,,,,,,,,,,,,,,,,,
8,Florence,2180,6,No,35,No,,,,,,,,,,,,,,,,,,,,,,,,
9,Mia,2168,-4,No,4,No,,,,,,,,,,,,,,,,,,,,,,,,
10,Willow,2067,2,No,65,No,,,,,,,,,,,,,,,,,,,,,,,,
11,Rosie,2028,-2,No,44,No,,,,,,,,,,,,,,,,,,,,,,,,
12,Sophia,2019,-2,No,6,No,,,,,,,,,,,,,,,,,,,,,,,,
13,Isabella,2010,-5,No,-3,No,,,,,,,,,,,,,,,,,,,,,,,,
14,Grace,1992,-3,No,-6,No,,,,,,,,,,,,,,,,,,,,,,,,
15,Daisy,1873,9,No,5,No,,,,,,,,,,,,,,,,,,,,,,,,
16,Sienna,1869,6,No,20,No,,,,,,,,,,,,,,,,,,,,,,,,
17,Poppy,1841,0,No,-3,No,,,,,,,,,,,,,,,,,,,,,,,,
18,Elsie,1840,1,No,69,No,,,,,,,,,,,,,,,,,,,,,,,,
19,Emily,1797,-4,No,-14,No,,,,,,,,,,,,,,,,,,,,,,,,
20,Ella,1756,-4,No,-4,No,,,,,,,,,,,,,,,,,,,,,,,,
21,Evelyn,1729,0,No,44,No,,,,,,,,,,,,,,,,,,,,,,,,
22,Phoebe,1678,3,No,2,No,,,,,,,,,,,,,,,,,,,,,,,,
23,Sofia,1671,0,No,24,No,,,,,,,,,,,,,,,,,,,,,,,,
24,Evie,1670,-6,No,-13,No,,,,,,,,,,,,,,,,,,,,,,,,
25,Charlotte,1654,-5,No,-4,No,,,,,,,,,,,,,,,,,,,,,,,,
26,Harper,1480,2,No,832,Yes,,,,,,,,,,,,,,,,,,,,,,,,
27,Millie,1472,6,No,8,No,,,,,,,,,,,,,,,,,,,,,,,,
28,Matilda,1437,1,No,20,No,,,,,,,,,,,,,,,,,,,,,,,,
29,Maya,1433,3,No,29,No,,,,,,,,,,,,,,,,,,,,,,,,
30,Sophie,1375,-4,No,-24,No,,,,,,,,,,,,,,,,,,,,,,,,
31,Alice,1359,-4,No,6,No,,,,,,,,,,,,,,,,,,,,,,,,
32,Emilia,1353,-1,No,29,No,,,,,,,,,,,,,,,,,,,,,,,,
33,Isabelle,1304,1,No,-16,No,,,,,,,,,,,,,,,,,,,,,,,,
34,Ruby,1300,-4,No,-27,No,,,,,,,,,,,,,,,,,,,,,,,,
35,Luna,1261,1,No,341,Yes,,,,,,,,,,,,,,,,,,,,,,,,
36,Maisie,1229,5,No,-14,No,,,,,,,,,,,,,,,,,,,,,,,,
37,Aria,1202,2,No,578,Yes,,,,,,,,,,,,,,,,,,,,,,,,
38,Penelope,1194,6,No,217,Yes,,,,,,,,,,,,,,,,,,,,,,,,
39,Mila,1133,8,No,222,Yes,,,,,,,,,,,,,,,,,,,,,,,,
40,Bonnie,1121,5,No,178,Yes,,,,,,,,,,,,,,,,,,,,,,,,
41,Eva,1091,-6,No,-8,No,,,,,,,,,,,,,,,,,,,,,,,,
42,Hallie,1070,7,No,290,Yes,,,,,,,,,,,,,,,,,,,,,,,,
43,Eliza,1064,0,No,19,No,,,,,,,,,,,,,,,,,,,,,,,,
44,Ada,1058,-6,No,342,Yes,,,,,,,,,,,,,,,,,,,,,,,,
45,Violet,1057,3,No,69,Yes,,,,,,,,,,,,,,,,,,,,,,,,
46,Esme,1013,-4,No,26,No,,,,,,,,,,,,,,,,,,,,,,,,
47,Arabella,1012,-7,No,161,Yes,,,,,,,,,,,,,,,,,,,,,,,,
48,Imogen,998,4,No,-16,No,,,,,,,,,,,,,,,,,,,,,,,,
49,Jessica,997,-12,No,-45,No,,,,,,,,,,,,,,,,,,,,,,,,
50,Delilah,981,12,No,278,Yes,,,,,,,,,,,,,,,,,,,,,,,,
51,Lottie,954,8,No,87,Yes,,,,,,,,,,,,,,,,,,,,,,,,
52,Chloe,932,-6,No,-40,No,,,,,,,,,,,,,,,,,,,,,,,,
53,Thea,917,4,No,182,Yes,,,,,,,,,,,,,,,,,,,,,,,,
53,Layla,917,-2,No,-23,No,,,,,,,,,,,,,,,,,,,,,,,,
55,Eleanor,915,-2,No,4,No,,,,,,,,,,,,,,,,,,,,,,,,
56,Aurora,910,8,No,348,Yes,,,,,,,,,,,,,,,,,,,,,,,,
57,Margot,892,23,No,719,Yes,,,,,,,,,,,,,,,,,,,,,,,,
58,Mabel,885,10,No,302,Yes,,,,,,,,,,,,,,,,,,,,,,,,
59,Erin,884,-1,No,-20,No,,,,,,,,,,,,,,,,,,,,,,,,
60,Elizabeth,862,-4,No,-16,No,,,,,,,,,,,,,,,,,,,,,,,,
61,Emma,860,-1,No,-12,No,,,,,,,,,,,,,,,,,,,,,,,,
62,Scarlett,858,-12,No,-37,No,,,,,,,,,,,,,,,,,,,,,,,,
63,Harriet,810,-8,No,8,No,,,,,,,,,,,,,,,,,,,,,,,,
64,Lola,807,1,No,-33,No,,,,,,,,,,,,,,,,,,,,,,,,
65,Nancy,797,1,No,70,Yes,,,,,,,,,,,,,,,,,,,,,,,,
66,Orla,794,6,No,89,Yes,,,,,,,,,,,,,,,,,,,,,,,,
67,Ayla,793,3,No,203,Yes,,,,,,,,,,,,,,,,,,,,,,,,
68,Rose,787,-7,No,8,No,,,,,,,,,,,,,,,,,,,,,,,,
69,Zara,773,4,No,4,No,,,,,,,,,,,,,,,,,,,,,,,,
70,Iris,746,7,No,77,Yes,,,,,,,,,,,,,,,,,,,,,,,,
71,Robyn,739,3,No,103,Yes,,,,,,,,,,,,,,,,,,,,,,,,
72,Bella,730,-9,No,-3,No,,,,,,,,,,,,,,,,,,,,,,,,
73,Molly,729,-19,No,-27,No,,,,,,,,,,,,,,,,,,,,,,,,
74,Olive,691,25,No,269,Yes,,,,,,,,,,,,,,,,,,,,,,,,
75,Maria,682,-5,No,18,No,,,,,,,,,,,,,,,,,,,,,,,,
76,Lyla,667,21,No,76,Yes,,,,,,,,,,,,,,,,,,,,,,,,
77,Maeve,654,17,No,667,Yes,,,,,,,,,,,,,,,,,,,,,,,,
78,Ellie,638,-11,No,-50,No,,,,,,,,,,,,,,,,,,,,,,,,
79,Gracie,632,-3,No,-26,No,,,,,,,,,,,,,,,,,,,,,,,,
80,Lyra,630,12,No,247,Yes,,,,,,,,,,,,,,,,,,,,,,,,
81,Darcie,623,-2,No,51,Yes,,,,,,,,,,,,,,,,,,,,,,,,
82,Maryam,621,4,No,12,No,,,,,,,,,,,,,,,,,,,,,,,,
83,Edith,613,2,No,123,Yes,,,,,,,,,,,,,,,,,,,,,,,,
84,Heidi,610,11,No,7,No,,,,,,,,,,,,,,,,,,,,,,,,
85,Lucy,607,-16,No,-62,No,,,,,,,,,,,,,,,,,,,,,,,,
86,Myla,602,2,No,306,Yes,,,,,,,,,,,,,,,,,,,,,,,,
87,Amelie,598,-5,No,-33,No,,,,,,,,,,,,,,,,,,,,,,,,
88,Amber,594,-5,No,-36,No,,,,,,,,,,,,,,,,,,,,,,,,
89,Hannah,588,-14,No,-48,No,,,,,,,,,,,,,,,,,,,,,,,,
90,Summer,586,3,No,-56,No,,,,,,,,,,,,,,,,,,,,,,,,
91,Eden,585,7,No,59,Yes,,,,,,,,,,,,,,,,,,,,,,,,
92,Jasmine,583,-14,No,-50,No,,,,,,,,,,,,,,,,,,,,,,,,
93,Elodie,576,3,No,167,Yes,,,,,,,,,,,,,,,,,,,,,,,,
94,Clara,574,-4,No,118,Yes,,,,,,,,,,,,,,,,,,,,,,,,
95,Holly,568,-14,No,-69,No,,,,,,,,,,,,,,,,,,,,,,,,
96,Lilly,551,-5,No,-69,No,,,,,,,,,,,,,,,,,,,,,,,,
97,Anna,545,-8,No,-30,No,,,,,,,,,,,,,,,,,,,,,,,,
98,Lara,539,3,Yes,21,Yes,,,,,,,,,,,,,,,,,,,,,,,,
99,Beatrice,515,10,Yes,27,Yes,,,,,,,,,,,,,,,,,,,,,,,,
100,Sara,511,2,Yes,9,Yes,,,,,,,,,,,,,,,,,,,,,,,,
